chance_level_mean,prob_bridge_given_valid_mean,prob_bridge_given_valid_median,prob_causal_given_bridge_mean,prob_causal_given_bridge_median,prob_valid_mean,prob_valid_median,step
0.12784995251661918,0.4192698703679609,0.2848312734645162,0.9995944672132622,1.0,0.38466796972724193,0.31661371886730194,2000
0.12784995251661918,0.30272373898261934,0.16654073879451642,0.9998511040528945,1.0,0.3023776000002464,0.17018015682697296,4000
0.12784995251661918,0.1953572705418946,0.06378630465870344,0.9908408642671733,1.0,0.215342688463659,0.056923363357782364,6000
0.12784995251661918,0.1888835026271358,0.07372072719277831,0.986220489282862,1.0,0.09032631485646157,0.01189271081238985,8000
0.12784995251661918,0.13253674722409206,0.02862021308984791,0.9300294565459025,1.0,0.023313311603186674,0.0019998368807137012,10000
0.12784995251661918,0.09125732197907659,0.006356810432129293,0.8166428954217324,1.0,0.03024462877270379,0.0016218426171690226,12000
0.12784995251661918,0.08460904336799903,0.004598133780419645,0.687953718200726,1.0,0.0244555436568266,0.0008155312680173665,14000
0.12784995251661918,0.07419502101020903,0.004135892554498777,0.6604733514891807,1.0,0.015977941862872234,0.0008486120204906911,16000
0.12784995251661918,0.07864802129178224,0.0025811998010887276,0.6158002390254758,1.0,0.02930121550052762,0.0011616926058195531,18000
0.12784995251661918,0.10127688641950645,0.001968410073616142,0.6926261407410422,1.0,0.04974220353078396,0.003845994477160275,20000
