avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_SUCCESS,step
3.991111111111111,1.5933333333333333,323,101,0,26,450,0.7177777777777777,0.22444444444444445,0,0.057777777777777775,2000
3.608888888888889,1.1466666666666667,348,79,0,23,450,0.7733333333333333,0.17555555555555555,0,0.051111111111111114,4000
4.935555555555555,1.9266666666666667,385,36,0,29,450,0.8555555555555555,0.08,0,0.06444444444444444,6000
4.466666666666667,1.5466666666666666,442,6,0,2,450,0.9822222222222222,0.013333333333333334,0,0.0044444444444444444,8000
6.888888888888889,2.651111111111111,449,0,1,0,450,0.9977777777777778,0,0.0022222222222222222,0.0,10000
6.795555555555556,2.4355555555555557,442,1,0,7,450,0.9822222222222222,0.0022222222222222222,0,0.015555555555555555,12000
6.411111111111111,2.077777777777778,445,1,0,4,450,0.9888888888888889,0.0022222222222222222,0,0.008888888888888889,14000
7.926666666666667,3.151111111111111,450,0,0,0,450,1.0,0,0,0.0,16000
7.933333333333334,3.1555555555555554,447,2,0,1,450,0.9933333333333333,0.0044444444444444444,0,0.0022222222222222222,18000
7.235555555555556,2.9266666666666667,445,2,0,3,450,0.9888888888888889,0.0044444444444444444,0,0.006666666666666667,20000
