avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_OVER_SHOOT,rate_SUCCESS,step
5.155555555555556,1.8,35,77,4,2,332,450,0.07777777777777778,0.1711111111111111,0.008888888888888889,0.0044444444444444444,0.7377777777777778,2000
5.222222222222222,1.8355555555555556,24,37,0,0,389,450,0.05333333333333334,0.08222222222222222,0,0,0.8644444444444445,4000
5.542222222222223,2.108888888888889,29,43,0,0,378,450,0.06444444444444444,0.09555555555555556,0,0,0.84,6000
5.828888888888889,2.4444444444444446,27,45,0,0,378,450,0.06,0.1,0,0,0.84,8000
5.826666666666667,2.3177777777777777,28,40,0,0,382,450,0.06222222222222222,0.08888888888888889,0,0,0.8488888888888889,10000
6.066666666666666,2.64,25,40,0,0,385,450,0.05555555555555555,0.08888888888888889,0,0,0.8555555555555555,12000
6.102222222222222,2.7,23,35,0,0,392,450,0.051111111111111114,0.07777777777777778,0,0,0.8711111111111111,14000
6.237777777777778,2.7266666666666666,27,35,0,0,388,450,0.06,0.07777777777777778,0,0,0.8622222222222222,16000
6.157777777777778,2.6755555555555555,24,34,0,0,392,450,0.05333333333333334,0.07555555555555556,0,0,0.8711111111111111,18000
6.273333333333333,2.897777777777778,20,32,0,0,398,450,0.044444444444444446,0.07111111111111111,0,0,0.8844444444444445,20000
