chance_level_mean,prob_bridgeable_given_stage2_path_mean,prob_deadend_given_valid_mean,prob_invalid_mean,prob_skip_stage2_given_valid_mean,prob_stage2_path_given_valid_mean,prob_target_given_valid_mean,prob_valid_mean,step
0.9848651608014354,0.9927681638447595,0.003626458565896745,0.5231741948260201,0.04906619862864264,0.9483211550355943,0.9963735403764176,0.4768258051739799,2000
0.9848651608014354,0.9947579085388266,0.0017870895892138352,0.39973800672425164,0.030721944497607654,0.9680360776513569,0.9982129103714836,0.6002619932757484,4000
0.9848651608014354,0.994585474699679,0.0013013446541181165,0.33955079959498513,0.023583516846669393,0.9755799058842792,0.9986986561471081,0.6604492004050149,6000
0.9848651608014354,0.9957657767072626,0.0008860004876903134,0.2866032956706153,0.016436447589606953,0.9830018008803517,0.999114000511847,0.7133967043293847,8000
0.9848651608014354,0.996031759571208,0.0007482842175541457,0.2669783515400357,0.014116006353164212,0.9854171683336332,0.9992517152482951,0.7330216484599643,10000
0.9848651608014354,0.9957079426146244,0.0007186167409963845,0.25461508631706237,0.014263494351014549,0.9852976061751219,0.9992813838088965,0.7453849136829376,12000
0.9848651608014354,0.9961449326921815,0.0006404591182241903,0.2381769327322642,0.01330033179918024,0.9863131447673864,0.9993595421694768,0.7618230672677359,14000
0.9848651608014354,0.9965344519031479,0.0005764561737401758,0.23035185039043427,0.012190401565014415,0.9874594889703197,0.9994235447922346,0.7696481496095657,16000
0.9848651608014354,0.9961103962319063,0.0005998141616567334,0.2307137914498647,0.014022796340617207,0.9856199075848606,0.9994001862052917,0.7692862085501353,18000
0.9848651608014354,0.9959939833518736,0.0006114819950580276,0.23586534990204705,0.015142643127708697,0.984489533303135,0.9993885180215251,0.7641346500979529,20000
