avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_OVER_SHOOT,rate_SUCCESS,step
5.966666666666667,1.6866666666666668,6,1,28,415,450,0.013333333333333334,0.0022222222222222222,0.06222222222222222,0.9222222222222223,5000
6.1066666666666665,1.8377777777777777,32,13,29,376,450,0.07111111111111111,0.028888888888888888,0.06444444444444444,0.8355555555555556,10000
6.317777777777778,1.8888888888888888,54,17,29,350,450,0.12,0.03777777777777778,0.06444444444444444,0.7777777777777778,15000
6.357777777777778,1.8444444444444446,78,16,42,314,450,0.17333333333333334,0.035555555555555556,0.09333333333333334,0.6977777777777778,20000
6.411111111111111,1.8533333333333333,92,11,44,303,450,0.20444444444444446,0.024444444444444446,0.09777777777777778,0.6733333333333333,25000
6.328888888888889,1.84,73,11,30,336,450,0.1622222222222222,0.024444444444444446,0.06666666666666667,0.7466666666666667,30000
6.271111111111111,1.7955555555555556,80,20,32,318,450,0.17777777777777778,0.044444444444444446,0.07111111111111111,0.7066666666666667,35000
6.4,1.8533333333333333,96,12,35,307,450,0.21333333333333335,0.02666666666666667,0.07777777777777778,0.6822222222222222,40000
6.268888888888889,1.8022222222222222,79,14,49,308,450,0.17555555555555555,0.03111111111111111,0.10888888888888888,0.6844444444444444,45000
6.262222222222222,1.8488888888888888,76,18,48,308,450,0.1688888888888889,0.04,0.10666666666666667,0.6844444444444444,50000
