avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_SUCCESS,step,task_type
7.385185185185185,4.6,6,72,0,57,135,0.044444444444444446,0.5333333333333333,0,0.4222222222222222,5000,s1s3
6.162962962962963,3.6592592592592594,11,84,0,40,135,0.08148148148148149,0.6222222222222222,0,0.2962962962962963,10000,s1s3
5.925925925925926,2.888888888888889,27,74,1,33,135,0.2,0.5481481481481482,0.007407407407407408,0.24444444444444444,15000,s1s3
5.637037037037037,2.903703703703704,26,69,0,40,135,0.1925925925925926,0.5111111111111111,0,0.2962962962962963,20000,s1s3
5.7555555555555555,3.022222222222222,33,68,0,34,135,0.24444444444444444,0.5037037037037037,0,0.2518518518518518,25000,s1s3
5.281481481481482,2.888888888888889,31,84,0,20,135,0.22962962962962963,0.6222222222222222,0,0.14814814814814814,30000,s1s3
5.7555555555555555,3.0814814814814815,28,68,0,39,135,0.2074074074074074,0.5037037037037037,0,0.28888888888888886,35000,s1s3
5.355555555555555,2.9925925925925925,26,84,0,25,135,0.1925925925925926,0.6222222222222222,0,0.18518518518518517,40000,s1s3
5.237037037037037,2.837037037037037,32,82,0,21,135,0.23703703703703705,0.6074074074074074,0,0.15555555555555556,45000,s1s3
5.437037037037037,2.740740740740741,31,70,0,34,135,0.22962962962962963,0.5185185185185185,0,0.2518518518518518,50000,s1s3
