avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_OVER_SHOOT,rate_SUCCESS,step,task_type
5.112359550561798,2.235955056179775,0,83,0,6,0,89,0,0.9325842696629213,0,0.06741573033707865,0.0,5000,s1s2
5.078651685393258,2.1797752808988764,6,75,0,8,0,89,0.06741573033707865,0.8426966292134831,0,0.0898876404494382,0.0,10000,s1s2
5.112359550561798,2.1797752808988764,14,70,0,5,0,89,0.15730337078651685,0.7865168539325843,0,0.056179775280898875,0.0,15000,s1s2
5.314606741573034,2.2808988764044944,11,76,0,2,0,89,0.12359550561797752,0.8539325842696629,0,0.02247191011235955,0.0,20000,s1s2
5.292134831460674,2.168539325842697,12,76,0,1,0,89,0.1348314606741573,0.8539325842696629,0,0.011235955056179775,0.0,25000,s1s2
4.966292134831461,1.9887640449438202,15,72,0,2,0,89,0.16853932584269662,0.8089887640449438,0,0.02247191011235955,0.0,30000,s1s2
5.089887640449438,2.033707865168539,15,70,0,4,0,89,0.16853932584269662,0.7865168539325843,0,0.0449438202247191,0.0,35000,s1s2
5.47191011235955,2.438202247191011,21,61,1,6,0,89,0.23595505617977527,0.6853932584269663,0.011235955056179775,0.06741573033707865,0.0,40000,s1s2
5.707865168539326,2.662921348314607,20,64,1,4,0,89,0.2247191011235955,0.7191011235955056,0.011235955056179775,0.0449438202247191,0.0,45000,s1s2
5.955056179775281,2.932584269662921,20,64,2,3,0,89,0.2247191011235955,0.7191011235955056,0.02247191011235955,0.033707865168539325,0.0,50000,s1s2
